,id,module,supermodule,dim_1,dim_2
3285,RCN1,21,1,-0.725228723017711,3.10052118390946
3286,EIF3M,6,1,-1.08704918238356,3.16433272451309
3287,CCDC73,9,1,-4.87817304941847,-1.26048668533417
3288,PRRG4,23,1,1.31092960027025,-2.27415265947433
3289,QSER1,15,1,-0.786443885294933,-0.459265255032499
3290,HIPK3,2,1,-0.648474391428966,1.92430052846817
3291,CD59,7,1,1.97300053027437,-2.81747844129654
3292,LMO2,6,1,-0.851947959391612,3.11300740331558
3293,NAT10,2,1,-0.0137600264234727,2.49147019475846
3294,APIP,1,1,-1.11208527895643,0.987276411952059
3295,PDHX,1,1,-2.67906444880201,0.742467261256258
3296,CD44,11,1,5.09116727498339,3.73358378499893
3297,SLC1A2,28,1,3.18236989167498,1.4647613534346
3298,LDLRAD3,6,1,-0.960944350687999,2.84340510457901
3299,PRR5L,11,1,4.11074477818773,4.09112391561417
3300,TRAF6,12,1,3.11129403498934,-3.37692894846054
3301,LRRC4C,16,1,4.62711149838732,2.06362757772354
3302,TTC17,2,1,-0.158380444972057,2.81560525983719
3303,TP53I11,30,1,2.40566968557404,0.179118014277498
3304,PRDM11,18,1,-0.307786639658946,-1.39298489004226
3305,SLC35C1,29,1,1.67016727116869,3.15310416311173
3306,PHF21A,3,1,-2.15085905405714,-0.794373594819029
3307,AMBRA1,6,1,-1.11479371401503,2.99121246427445
3308,LRP4,11,1,5.0929730573015,3.74769625753311
3309,C11orf49,21,1,-0.70475834223463,3.28281006902603
3310,PACSIN3,29,1,1.66024530318544,3.20117697805313
3311,DDB2,13,1,0.93564910081194,-0.376124345360716
3312,SPI1,25,1,0.231933657200795,2.88237390607742
3313,AC090559.1,30,1,3.1603655853586,0.0192578205480978
3314,CELF1,2,1,-0.561432774989147,2.5080164441481
3315,FNBP4,29,1,1.08033866074846,2.2087229260817
3316,PTPRJ,21,1,-0.156476672617931,3.46794447988419
3317,FOLH1,11,1,4.23924202111528,4.41636548131851
3318,CTNND1,27,1,-1.28932517382338,-0.954917617736776
3319,LPXN,5,1,-0.302765544383067,-2.32507731824966
3320,ZFP91,3,1,-2.46845215174391,0.118648267687838
3321,GLYATL1,8,1,1.04427570489214,-3.05655994325729
3322,AP001636.3,5,1,0.444269720585805,-2.57793273836227
3323,FAM111B,9,1,-5.1436082682295,-1.31432347804161
3324,FAM111A,9,1,-4.63327902170851,-1.21964212566467
3325,MPEG1,13,1,0.907096807034474,0.0718918809309408
3326,LINC02739,18,1,-0.0985311827345079,-0.844234079717119
3327,MRPL16,17,1,-2.81167047831251,3.27580008596329
3328,MS4A6A,12,1,3.530346457036,-3.63256158739181
3329,MS4A4A,10,1,-1.49154036852552,1.65772781461624
3330,MS4A4E,1,1,-1.74186867090895,1.44367776006607
3331,MS4A7,7,1,1.93691087153719,-2.54877796083542
3332,MS4A14,12,1,2.59315929946468,-3.29478921800705
3333,FADS2,26,1,0.717669312031727,1.45198807805924
3334,FADS1,24,1,0.368236128361684,1.37810454458145
3335,FTH1,4,1,-2.09898393961622,-5.69785942941757
3336,EEF1G,4,1,-1.86194294306471,-6.01435532480331
3337,B3GAT3,30,1,2.05208516505526,0.392387963236849
3338,GANAB,22,1,1.71448797372149,-0.792051189242323
3339,INTS5,15,1,0.447986904652577,0.455901242198031
3340,SLC3A2,6,1,-1.30092256876661,2.9221530923262
3341,ATL3,2,1,-0.436842854945201,2.90475545019058
3342,RTN3,12,1,3.26548338321016,-2.8265017500505
3343,C11orf95,18,1,-0.209318574397106,-1.57024528890701
3344,SPINDOC,12,1,3.35409832385347,-3.4798015585527
3345,STIP1,14,1,3.16707063105867,-3.68605174928757
3346,FERMT3,21,1,-0.588813718287486,3.72448811620621
3347,VEGFB,30,1,3.04430610326098,-0.115782343445738
3348,PPP1R14B,4,1,-2.06805485102369,-4.98373141199203
3349,TRMT112,4,1,-1.85382574412062,-5.65648760706039
3350,SF1,17,1,-2.13846748682692,3.46383032888321
3351,ARL2,28,1,2.2123689987974,1.04119215101151
3352,FAU,4,1,-1.94708507868483,-5.61873545557113
3353,SYVN1,11,1,4.02207845834063,4.52739701360611
3354,POLA2,9,1,-5.20141476008131,-1.00355680346342
3355,NEAT1,22,1,2.2398251035528,-1.15163376241775
3356,MALAT1,24,1,-0.0800585112257188,1.29802618116287
3357,EHBP1L1,25,1,0.686040226490956,3.21875987142471
3358,KCNK7,15,1,-1.10144251200392,0.327365256251375
3359,SIPA1,22,1,1.83103907492922,-0.892843218183537
3360,RELA-DT,20,1,-1.55664318415358,-2.14638104349228
3361,RNASEH2C,4,1,-1.65324228617384,-5.42772498041244
3362,CFL1,4,1,-1.79477041575148,-5.35993113428207
3363,MUS81,26,1,0.741677466900807,0.890899992884676
3364,SART1,30,1,3.10146135476397,-0.0376819005593851
3365,PACS1,7,1,1.76500016835497,-2.31627848058792
3366,B4GAT1,29,1,1.69939244178103,3.16793856710343
3367,MRPL11,4,1,-1.68638866755201,-5.8392187586412
3368,RBM14,7,1,2.20936927583979,-2.9760185709581
3369,RBM4,1,1,-1.75805061670973,1.22443089574722
3370,C11orf80,12,1,3.07217550662325,-3.42349781900497
3371,PC,6,1,-1.58546131464674,2.80468688100723
3372,SYT12,28,1,2.0448513963537,0.931013322772066
3373,KDM2A,6,1,-0.95606129976942,2.66581139654068
3374,GRK2,13,1,1.12228554871843,0.687080598773043
3375,CLCF1,30,1,3.22331548121737,-0.0138901105508402
3376,UNC93B1,26,1,0.780588928730946,2.12488374799637
3377,CHKA,18,1,0.45165878918932,-1.63364359050842
3378,C11orf24,2,1,0.0661862531022841,2.86682829946427
3379,PPP6R3,3,1,-2.06630533549025,0.016465521754305
3380,MYEOV,19,1,-2.0437456926985,2.90099940389542
3381,CCND1,21,1,-0.715589221446056,3.67914757818131
3382,PPFIA1,2,1,-0.957270320384044,2.15026555150894
3383,DHCR7,24,1,-0.163013633219737,1.05785868257431
3384,AP000812.1,7,1,2.02713206795023,-3.20082058817001
3385,FOLR2,18,1,0.13648397115038,-1.1280241391048
3386,CLPB,10,1,-1.36398309084608,2.05945763677506
3387,ARAP1,22,1,1.9932083227949,-1.01159555524441
3388,FCHSD2,27,1,-1.08754485460951,-0.961676352320631
3389,P2RY6,24,1,-0.212020095316905,0.399908877314608
3390,FAM168A,19,1,-2.19650381418898,2.11559829801468
3391,RAB6A,6,1,-0.959434445826549,2.83532271474747
3392,UCP2,10,1,-1.47713154169752,2.10562357992081
3393,AP003717.4,4,1,-1.36154192301466,-5.62531771570297
3394,C2CD3,9,1,-5.26505964609816,-0.947421976028402
3395,RNF169,7,1,2.72139220324324,-2.49705126195999
3396,XRRA1,15,1,-0.842181619135875,-0.87067725661995
3397,SLCO2B1,26,1,0.801136557133656,1.41879401296524
3398,ARRB1,23,1,1.68891513732241,-1.93458785921188
3399,RPS3,4,1,-1.89102238032057,-5.44211735635849
3400,SERPINH1,14,1,3.48854512360857,-4.02155389696213
3401,UVRAG,5,1,0.00453859952257218,-2.66442193895431
3402,GVQW3,28,1,2.55502564099596,1.16004738897232
3403,EMSY,8,1,0.671195689709645,-3.11495318323227
3404,ACER3,6,1,-1.23930710169508,2.65552029699234
3405,PAK1,1,1,-1.881927188365,0.418139673174898
3406,CLNS1A,3,1,-1.64393299433424,0.0352016457930013
3407,RSF1,3,1,-1.41527551027967,-0.629186861811598
3408,ALG8,2,1,-0.462484773127574,2.80127368062882
3409,GAB2,15,1,-0.120818789927501,-0.0418712726220682
3410,AP003086.1,15,1,-0.0442621073408311,-0.100262605248411
3411,NARS2,6,1,-1.54646986338331,3.14146361440567
3412,TENM4,8,1,1.54140168813036,-3.41719570070358
3413,DDIAS,9,1,-5.02690142008497,-1.11243275612446
3414,RAB30-DT,15,1,-0.451801475016612,-0.374582253991087
3415,PCF11,7,1,2.21240559604929,-2.75739314466568
3416,ANKRD42,14,1,3.16596758750246,-4.00360026270004
3417,DLG2,11,1,4.52545935300158,3.68303761571793
3418,AP000857.2,15,1,-0.348877843348522,-0.276525401173551
3419,PICALM,5,1,-0.424761470286388,-2.25517012983414
3420,EED,15,1,-0.798204835383434,-0.743137382565458
3421,HIKESHI,12,1,3.57800168183611,-3.69620814233871
3422,CCDC81,14,1,2.86620089796351,-3.97352018266769
3423,RAB38,19,1,-2.57713621470167,2.04996595472244
3424,CTSC,19,1,-1.75635736796095,2.72529993146805
3425,GRM5,16,1,4.44000381615923,2.14047894567398
3426,CHORDC1,14,1,3.05259025481508,-3.82513728052231
3427,DISC1FP1,27,1,-1.1642176470442,-1.31055136829468
3428,FAT3,16,1,3.44471908000277,1.84870324224381
3429,TAF1D,6,1,-1.66654795023634,3.05436763852982
3430,MED17,25,1,0.525066081555348,3.30791268438248
3431,AP002784.1,21,1,-0.417331393687267,3.01535115331558
3432,AMOTL1,31,1,0.334225956471425,4.30873808950333
3433,AP000787.1,14,1,2.51441609499023,-3.90608897119613
3434,SESN3,14,1,2.38329156127737,-3.7321003904924
3435,MTMR2,19,1,-1.88605802866651,3.00134501546768
3436,MAML2,12,1,2.27130461123751,-3.40527572542282
3437,CNTN5,16,1,4.71166974690722,2.11309251874832
3438,BIRC2,1,1,-1.94944208475782,1.5545583733931
3439,TMEM123,7,1,1.55430478242205,-3.55195846468063
3440,DYNC2H1,30,1,2.34043957677649,0.68376956075577
3441,CASP4,12,1,3.61840218690203,-3.16747465044113
3442,CASP5,12,1,3.61997372296618,-3.36497988611313
3443,CASP1,12,1,3.47405797627733,-3.49052157312485
3444,GRIA4,16,1,4.29977864411638,2.24098978132157
3445,CWF19L2,8,1,1.3799296059923,-3.38630356699081
3446,SLC35F2,32,1,1.59833091882036,2.26184592336563
3447,RAB39A,2,1,0.204689566166859,2.31143865674881
3448,NPAT,3,1,-2.19342583033277,0.276539898814242
3449,ATM,5,1,0.122788492711049,-2.94066705614181
3450,C11orf65,18,1,-0.0955068430586046,-1.25186815172287
3451,DDX10,17,1,-2.18555610987379,3.30027375310806
3452,ZC3H12C,8,1,1.36164468911455,-2.90158739000412
3453,ARHGAP20,6,1,-1.36456101748182,2.98498330205826
3454,ALG9,2,1,-0.710255797831554,2.38586125463394
3455,IL18,24,1,-0.441834624735851,0.586040950717013
3456,BCO2,8,1,1.10772127297686,-3.06413879304977
3457,PLET1,28,1,2.25218437996672,1.04916462987808
3458,NCAM1,11,1,4.61891967442797,3.63581881612686
3459,ZBTB16,7,1,1.60368472722338,-2.21418919473739
3460,CADM1,11,1,4.472276393445,3.91998372167496
3461,PAFAH1B2,9,1,-5.62968843790724,-1.0263657203302
3462,RNF214,32,1,1.62975782540606,2.14289150327591
3463,DSCAML1,11,1,4.03516370442675,4.25723061651138
3464,IL10RA,5,1,-0.125753339259166,-2.39819207101913
3465,SMIM35,18,1,0.181231085331898,-0.909995308740456
3466,MPZL3,9,1,-5.31254690500929,-1.29162030726524
3467,ATP5MG,4,1,-1.83848636957838,-5.37569203287216
3468,KMT2A,8,1,0.897239033253651,-2.60202958494278
3469,PHLDB1,11,1,4.12526828435228,4.46996340841202
3470,RPS25,4,1,-2.06336801859571,-5.82222428232284
3471,HYOU1,17,1,-2.68991154047682,3.43243823141007
3472,C2CD2L,24,1,0.216895882161122,1.32793388456253
3473,CBL,2,1,-0.204364474741954,1.95747718900589
3474,THY1,18,1,-0.209456857172984,-1.10752057343574
3475,GRIK4,30,1,2.76324454334543,0.529010749758761
3476,SORL1,5,1,0.24270898488329,-2.50724782854172
3477,AP001977.1,12,1,2.36523317185209,-3.34701385408493
3478,AP001924.1,13,1,1.11752611783312,-1.0258647283897
3479,MIR100HG,16,1,3.87839419034288,2.80813274473099
3480,UBASH3B,29,1,0.277280632527333,2.497515059413
3481,HSPA8,31,1,0.692146483929616,4.44895205587296
3482,GRAMD1B,8,1,1.15827376035021,-2.36085822492691
3483,SIAE,2,1,-0.437564547984142,2.7928339013472
3484,SPA17,20,1,-2.17018049570753,-2.39047243505569
3485,NRGN,28,1,2.4104112052636,1.23953089803604
3486,CHEK1,9,1,-4.86376636835768,-1.19067322522255
3487,HYLS1,15,1,-0.410485204188365,-0.585322432814558
3488,RPUSD4,2,1,-0.25024002405836,2.43083629697708
3489,KIRREL3,11,1,4.36757618573473,3.75212369054703
3490,LINC02712,18,1,-0.421677049128551,-1.44942452818008
3491,ETS1,10,1,-1.14810984942152,1.7807386884108
3492,AP001122.1,2,1,-0.523527558772106,2.20956335157303
3493,FLI1,7,1,2.23658940580652,-2.67342462450119
3494,ARHGAP32,27,1,-1.19090121599867,-0.941293065099438
3495,APLP2,1,1,-2.12219494196608,1.87384972661881
3496,ST14,2,1,-1.03937714907362,2.22230944723038
3497,ZBTB44,8,1,0.932371918232899,-3.28604998499008
3498,NTM,11,1,4.83131724980639,3.6464179524794
3499,OPCML,16,1,3.98708814767168,1.71410188764481
3500,THYN1,22,1,1.44547921803759,-0.915549938230236
3501,WNK1,10,1,-1.55618732783033,1.7234500417128
3502,ERC1,10,1,-1.18426817270948,1.82728633970169
3503,WNT5B,12,1,2.52918932226465,-3.38388671785446
3504,FBXL14,14,1,2.70940456178949,-3.68045654207321
3505,ADIPOR2,1,1,-1.48481624933912,0.865650154055636
3506,FKBP4,14,1,3.27300233033464,-3.63924350648971
3507,FOXM1,9,1,-5.58519285532667,-1.22517811566444
3508,PARP11,1,1,-1.71806400629713,1.54577074140457
3509,CCND2,10,1,-0.75951474520399,1.54525528043656
3510,C12orf4,1,1,-1.8673049769087,0.847723818720858
3511,RAD51AP1,9,1,-5.51900404307081,-1.40090461879822
3512,NDUFA9,10,1,-1.43226283404066,1.84292230695633
